,noise_proportion_corrected(beta),noise_ratio(alpha),machine_learning_model(f),mean,std
320,80.0%,0.15,sgd,0.006650000000000002,0.0055710922596486625
321,80.0%,0.2,lstm,0.12313333333333333,0.020598766841786884
322,80.0%,0.2,mnb,0.011666666666666669,0.0035871738307411342
323,80.0%,0.2,sgd,0.0122,0.0073444795125553195
324,80.0%,0.25,lstm,0.1668333333333333,0.018813207637433747
325,80.0%,0.25,mnb,0.011783333333333337,0.0024129082943165517
326,80.0%,0.25,sgd,0.020033333333333334,0.008154682739059359
327,80.0%,0.3,lstm,0.1951333333333333,0.015170828025803527
328,80.0%,0.3,mnb,0.01985,0.007021088922323403
329,80.0%,0.3,sgd,0.02578333333333333,0.007439043474539718
330,80.0%,0.35,lstm,0.22586666666666672,0.017173522791130283
331,80.0%,0.35,mnb,0.021516666666666663,0.009223735623410653
332,80.0%,0.35,sgd,0.04615000000000001,0.013552038910093555
333,80.0%,0.4,lstm,0.2530833333333334,0.0174004970863069
334,80.0%,0.4,mnb,0.036283333333333334,0.018424909737922046
335,80.0%,0.4,sgd,0.09691666666666668,0.03625748040139402
336,80.0%,0.45,lstm,0.27955,0.01571477999670461
337,80.0%,0.45,mnb,0.046583333333333324,0.02174106369464734
338,80.0%,0.45,sgd,0.18513333333333334,0.07468923355608494
339,80.0%,0.5,lstm,0.3096333333333333,0.017031883556179704
340,80.0%,0.5,mnb,0.08388333333333332,0.03500484777593087
341,80.0%,0.5,sgd,0.2691166666666666,0.08044806456313305
342,80.0%,0.55,lstm,0.33465,0.017130407527813384
343,80.0%,0.55,mnb,0.13921666666666666,0.06719781443148144
344,80.0%,0.55,sgd,0.3607166666666667,0.11166133243392513
345,80.0%,0.6,lstm,0.3666,0.016833566630908667
346,80.0%,0.6,mnb,0.20115000000000002,0.09095216154471081
347,80.0%,0.6,sgd,0.46066666666666667,0.09396012849675353
348,80.0%,0.65,lstm,0.4025166666666667,0.022254593998161102
349,80.0%,0.65,mnb,0.32774999999999993,0.12404912472414945
350,80.0%,0.65,sgd,0.5443333333333332,0.053980733046429495
351,90.0%,0.05,lstm,0.03568333333333334,0.017447696880585173
352,90.0%,0.05,mnb,0.0030833333333333338,0.001260017332484327
353,90.0%,0.05,sgd,0.0014333333333333336,0.006909180965150312
354,90.0%,0.1,lstm,0.08043333333333333,0.017185967277531043
355,90.0%,0.1,mnb,0.006016666666666668,0.00255114353444359
356,90.0%,0.1,sgd,0.00555,0.006410323032368209
357,90.0%,0.15,lstm,0.11116666666666666,0.018521810690760445
358,90.0%,0.15,mnb,0.0069000000000000025,0.003504676678481149
359,90.0%,0.15,sgd,0.008833333333333335,0.0059325713058378466
360,90.0%,0.2,lstm,0.14476666666666665,0.01901439261288095
361,90.0%,0.2,mnb,0.013550000000000003,0.0031795412811631636
362,90.0%,0.2,sgd,0.015233333333333337,0.006529420597061682
363,90.0%,0.25,lstm,0.19033333333333335,0.02057632273928615
364,90.0%,0.25,mnb,0.012683333333333336,0.002119219656860277
365,90.0%,0.25,sgd,0.0209,0.00941696927598405
366,90.0%,0.3,lstm,0.2221,0.016598919782053124
367,90.0%,0.3,mnb,0.02121666666666667,0.0074714206438121
368,90.0%,0.3,sgd,0.027466666666666664,0.007762568599656162
369,90.0%,0.35,lstm,0.26033333333333336,0.016562490511816845
370,90.0%,0.35,mnb,0.022950000000000005,0.009241351968564803
371,90.0%,0.35,sgd,0.04915000000000001,0.014295616641908588
372,90.0%,0.4,lstm,0.2890500000000001,0.01634612154779146
373,90.0%,0.4,mnb,0.03816666666666666,0.018098548871784383
374,90.0%,0.4,sgd,0.10026666666666666,0.03737963057079611
375,90.0%,0.45,lstm,0.31636666666666674,0.016198091273960043
376,90.0%,0.45,mnb,0.04933333333333334,0.021364381142668174
377,90.0%,0.45,sgd,0.18931666666666663,0.07539270559856082
378,90.0%,0.5,lstm,0.3523166666666666,0.025891845119229352
379,90.0%,0.5,mnb,0.08623333333333333,0.03406882823742643
380,90.0%,0.5,sgd,0.2710666666666667,0.07864528980934206
381,90.0%,0.55,lstm,0.3747499999999999,0.023556516778985404
382,90.0%,0.55,mnb,0.1421333333333333,0.06652947665785308
383,90.0%,0.55,sgd,0.3627333333333333,0.11197696294276362
384,90.0%,0.6,lstm,0.41741666666666666,0.01990021804304967
385,90.0%,0.6,mnb,0.2037666666666667,0.09095278552854937
386,90.0%,0.6,sgd,0.4630666666666666,0.09520990724069428
387,90.0%,0.65,lstm,0.4563166666666667,0.019496013444545143
388,90.0%,0.65,mnb,0.32994999999999997,0.12491834229359318
389,90.0%,0.65,sgd,0.5476833333333333,0.053133612216058085
