,noise_proportion_corrected(beta),noise_ratio(alpha),machine_learning_model(f),mean,std
354,90.0%,0.1,lstm,0.081075,0.014116063023878777
355,90.0%,0.1,mnb,0.002116666666666667,0.0033661271997549305
356,90.0%,0.1,sgd,0.003916666666666667,0.006828737266952392
357,90.0%,0.15,lstm,0.124975,0.020297146589209666
358,90.0%,0.15,mnb,0.002766666666666667,0.004628616384607213
359,90.0%,0.15,sgd,0.006916666666666667,0.00905778214393274
360,90.0%,0.2,lstm,0.16085,0.024545156464817103
361,90.0%,0.2,mnb,0.003833333333333333,0.00471246038849827
362,90.0%,0.2,sgd,0.013000000000000001,0.009950296646901767
363,90.0%,0.25,lstm,0.19773333333333334,0.023567437061247334
364,90.0%,0.25,mnb,0.0103,0.006707076408509137
365,90.0%,0.25,sgd,0.018675,0.01273396998569726
366,90.0%,0.3,lstm,0.24487499999999998,0.02481818339223797
367,90.0%,0.3,mnb,0.024616666666666672,0.01155562603224935
368,90.0%,0.3,sgd,0.03939166666666667,0.02634907739469868
369,90.0%,0.35,lstm,0.281575,0.028742456080032633
370,90.0%,0.35,mnb,0.04808333333333334,0.025825394099454838
371,90.0%,0.35,sgd,0.06378333333333334,0.04249017352210244
372,90.0%,0.4,lstm,0.3315,0.030712546364664726
373,90.0%,0.4,mnb,0.125975,0.06417511003418039
374,90.0%,0.4,sgd,0.13747499999999999,0.09621255901702773
375,90.0%,0.45,lstm,0.367475,0.03594065194434951
376,90.0%,0.45,mnb,0.2713,0.09304752558132173
377,90.0%,0.45,sgd,0.271975,0.11623552317918776
378,90.0%,0.5,lstm,0.4005,0.04161225579000462
379,90.0%,0.5,mnb,0.5080166666666667,0.09776055324264549
380,90.0%,0.5,sgd,0.510125,0.10368257655301719
381,90.0%,0.55,lstm,0.45315,0.042724768956109535
382,90.0%,0.55,mnb,0.7248333333333332,0.06855793518033107
383,90.0%,0.55,sgd,0.7170916666666666,0.07887709787148264
384,90.0%,0.6,lstm,0.48533333333333334,0.04352500166924895
385,90.0%,0.6,mnb,0.811525,0.07577664686487541
386,90.0%,0.6,sgd,0.7992083333333333,0.07334870048436508
387,90.0%,0.65,lstm,0.5336166666666666,0.0544961926560526
388,90.0%,0.65,mnb,0.8499,0.07357125397711192
389,90.0%,0.65,sgd,0.8335083333333333,0.06817932309754343
