,noise_proportion_corrected(beta),noise_ratio(alpha),noise_type(t),mean,std
319,80.0%,0.15,NCAR,0.057016528703786325,0.03534053096936896
320,80.0%,0.15,NNAR,0.22593927786918705,0.15607398740755987
321,80.0%,0.2,NAR,0.11689372382503027,0.07335587648155642
322,80.0%,0.2,NCAR,0.08839341552336048,0.061843701464625346
323,80.0%,0.2,NNAR,0.304512116966136,0.15011109511726575
324,80.0%,0.25,NAR,0.14909351690360276,0.08015592536641239
325,80.0%,0.25,NCAR,0.10285461935702689,0.07254571757647679
326,80.0%,0.25,NNAR,0.3778235946509812,0.1271044859308517
327,80.0%,0.3,NAR,0.1801838524842509,0.0958140325203267
328,80.0%,0.3,NCAR,0.15398847821447784,0.12039778080543746
329,80.0%,0.3,NNAR,0.4762546245480592,0.10174382777185444
330,80.0%,0.35,NAR,0.2558329594885029,0.1257345048423732
331,80.0%,0.35,NCAR,0.18806780839655698,0.1474698120039211
332,80.0%,0.35,NNAR,0.5496070026884411,0.0976573342065343
333,80.0%,0.4,NAR,0.3282157145729143,0.14875895126459354
334,80.0%,0.4,NCAR,0.23608922481260936,0.20779449886659976
335,80.0%,0.4,NNAR,0.6086933790326563,0.08490411257764509
336,80.0%,0.45,NAR,0.4142267445791817,0.14795237032789746
337,80.0%,0.45,NCAR,0.26471936872076735,0.24327476566215545
338,80.0%,0.45,NNAR,0.6341795064233771,0.07479210450685454
339,80.0%,0.5,NAR,0.5174597366752963,0.1816448059322091
340,80.0%,0.5,NCAR,0.3205371507878578,0.25603795175310706
341,80.0%,0.5,NNAR,0.691053098997934,0.06825985887771181
342,80.0%,0.55,NAR,0.6546606194005693,0.0870482338872766
343,80.0%,0.55,NCAR,0.34582717490186954,0.2509003595469942
344,80.0%,0.55,NNAR,0.713754235211347,0.06670644578919183
345,80.0%,0.6,NAR,0.7101258204864958,0.07693410069321084
346,80.0%,0.6,NCAR,0.39649344995638974,0.23863546038036854
347,80.0%,0.6,NNAR,0.747039598968985,0.05387732408501807
348,80.0%,0.65,NAR,0.7522812610631349,0.05844747288546714
349,80.0%,0.65,NCAR,0.4452309024499704,0.2162951012418022
350,80.0%,0.65,NNAR,0.7669956357716474,0.05118203283828131
351,90.0%,0.05,NAR,0.03202875210979808,0.025557022487317935
352,90.0%,0.05,NCAR,0.031247858975887426,0.026229784684652577
353,90.0%,0.05,NNAR,0.11033700371285823,0.08291665225460475
354,90.0%,0.1,NAR,0.05294217521166686,0.05011423580630528
355,90.0%,0.1,NCAR,0.06560772591377298,0.03830286938599622
356,90.0%,0.1,NNAR,0.16396642311057913,0.13394826436272902
357,90.0%,0.15,NAR,0.10156424718279893,0.0641069825664503
358,90.0%,0.15,NCAR,0.0669041408840707,0.04085746185507936
359,90.0%,0.15,NNAR,0.2354704088051862,0.1635615833353346
360,90.0%,0.2,NAR,0.12530174985040823,0.07779415662165172
361,90.0%,0.2,NCAR,0.09918304320155948,0.06403028485698639
362,90.0%,0.2,NNAR,0.3150468482287605,0.15005459192953724
