,noise_proportion_corrected(beta),noise_ratio(alpha),noise_type(t),mean,std
252,60.0%,0.35,NAR,0.07755000000000001,0.0607750728733304
253,60.0%,0.35,NCAR,0.0731,0.07123278981499731
254,60.0%,0.35,NNAR,0.07541666666666667,0.06403973488138565
255,60.0%,0.4,NAR,0.10350000000000001,0.059251945988703834
256,60.0%,0.4,NCAR,0.09488333333333333,0.0792692577856325
257,60.0%,0.4,NNAR,0.11255000000000001,0.06363044570557129
258,60.0%,0.45,NAR,0.15168333333333334,0.08538629092635959
259,60.0%,0.45,NCAR,0.12786666666666668,0.0881989261539654
260,60.0%,0.45,NNAR,0.15155000000000002,0.08221055285059212
261,60.0%,0.5,NAR,0.19163333333333335,0.05757452940998831
262,60.0%,0.5,NCAR,0.18455000000000002,0.12833222980567488
263,60.0%,0.5,NNAR,0.19690000000000002,0.09124667211692594
264,60.0%,0.55,NAR,0.2820833333333333,0.1198445173269655
265,60.0%,0.55,NCAR,0.21906666666666663,0.14231701701951643
266,60.0%,0.55,NNAR,0.2349666666666667,0.06542710254265
267,60.0%,0.6,NAR,0.3585000000000001,0.1079286162558223
268,60.0%,0.6,NCAR,0.28531666666666666,0.16625880756204775
269,60.0%,0.6,NNAR,0.2777666666666666,0.08963861672959597
270,60.0%,0.65,NAR,0.4376833333333334,0.12055871965584848
271,60.0%,0.65,NCAR,0.33371666666666666,0.15027874579188372
272,60.0%,0.65,NNAR,0.3778833333333334,0.09256504547440228
273,70.0%,0.05,NAR,0.011616666666666668,0.01755075562443127
274,70.0%,0.05,NCAR,0.007533333333333335,0.011339535152344843
275,70.0%,0.05,NNAR,0.0083,0.016177677255382196
276,70.0%,0.1,NAR,0.024033333333333334,0.034002011434754786
277,70.0%,0.1,NCAR,0.021516666666666663,0.026373472609257664
278,70.0%,0.1,NNAR,0.023633333333333333,0.026860730641118317
279,70.0%,0.15,NAR,0.029666666666666668,0.04134783764794623
280,70.0%,0.15,NCAR,0.03379999999999999,0.040284462650437364
281,70.0%,0.15,NNAR,0.030466666666666663,0.032344037806204644
282,70.0%,0.2,NAR,0.04206666666666666,0.04534308549601417
283,70.0%,0.2,NCAR,0.043,0.05036350621849803
284,70.0%,0.2,NNAR,0.046900000000000004,0.049106920644369605
285,70.0%,0.25,NAR,0.05700000000000001,0.0622863243970661
286,70.0%,0.25,NCAR,0.05681666666666666,0.06313525209794656
287,70.0%,0.25,NNAR,0.06145,0.06594490255064292
288,70.0%,0.3,NAR,0.07051666666666666,0.0737283554834831
289,70.0%,0.3,NCAR,0.06461666666666668,0.06773817282353625
290,70.0%,0.3,NNAR,0.07403333333333334,0.06783739856213651
291,70.0%,0.35,NAR,0.08863333333333334,0.07430876095066441
292,70.0%,0.35,NCAR,0.08478333333333335,0.08499124532332254
293,70.0%,0.35,NNAR,0.08825000000000001,0.08124576912061329
294,70.0%,0.4,NAR,0.11533333333333334,0.07115031845390402
295,70.0%,0.4,NCAR,0.10828333333333333,0.09372158726536929
